#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/pb),recorded(/pb)
274968:5013,06/11/16 22:51:22,1192,HLT_IsoMu24_v2,202.639807252,193.775922766
274969:5013,06/12/16 06:41:54,1003,HLT_IsoMu24_v2,135.797327826,126.581145674
274970:5013,06/12/16 13:12:54,47,HLT_IsoMu24_v2,5.693241215,4.298671972
274971:5013,06/12/16 13:33:30,905,HLT_IsoMu24_v2,100.725654545,97.616535644
274998:5017,06/13/16 04:19:54,719,HLT_IsoMu24_v2,119.553606101,113.023752453
274999:5017,06/13/16 09:04:45,1241,HLT_IsoMu24_v2,168.573292587,162.759022647
275000:5017,06/13/16 17:15:35,136,HLT_IsoMu24_v2,16.331565067,15.808373810
275001:5017,06/13/16 18:12:42,2057,HLT_IsoMu24_v2,202.940250087,197.660420704
275059:5020,06/14/16 16:49:52,37,HLT_IsoMu24_v2,6.719889176,6.094489243
275066:5020,06/14/16 17:45:35,96,HLT_IsoMu24_v2,19.255843966,18.301980901
275067:5020,06/14/16 18:28:40,392,HLT_IsoMu24_v2,73.740090867,71.046000095
275068:5020,06/14/16 21:06:59,915,HLT_IsoMu24_v2,148.129203702,142.426185427
275073:5020,06/15/16 03:33:57,517,HLT_IsoMu24_v2,70.659634479,68.166579916
275074:5020,06/15/16 06:58:09,646,HLT_IsoMu24_v2,78.401733928,75.957762662
275124:5021,06/15/16 17:50:26,325,HLT_IsoMu24_v2,58.742279594,56.104012184
275125:5021,06/15/16 20:00:21,989,HLT_IsoMu24_v2,155.960933008,149.289554910
275282:5024,06/17/16 00:06:15,90,HLT_IsoMu24_v2,15.571031997,14.753424131
275283:5024,06/17/16 00:43:11,132,HLT_IsoMu24_v2,23.329904913,22.215007942
275284:5024,06/17/16 01:36:53,74,HLT_IsoMu24_v2,12.802831878,12.326313617
275290:5024,06/17/16 03:58:56,48,HLT_IsoMu24_v2,7.625354128,2.653991547
275291:5024,06/17/16 04:28:35,347,HLT_IsoMu24_v2,52.931321550,51.239142971
275292:5024,06/17/16 06:46:47,121,HLT_IsoMu24_v2,16.297461062,15.533065282
275293:5024,06/17/16 07:37:27,200,HLT_IsoMu24_v2,25.785580405,24.911715338
275309:5026,06/17/16 13:48:15,563,HLT_IsoMu24_v2,85.067986608,81.968831496
275310:5026,06/17/16 17:32:53,1929,HLT_IsoMu24_v2,228.952183107,221.971321072
275311:5026,06/18/16 06:07:07,1253,HLT_IsoMu24_v2,109.758788583,107.143490495
275319:5027,06/18/16 18:56:15,142,HLT_IsoMu24_v2,25.719252525,24.399048687
275337:5027,06/18/16 21:26:04,427,HLT_IsoMu24_v2,71.143873016,68.318280018
275338:5027,06/19/16 00:15:37,520,HLT_IsoMu24_v2,77.545788589,75.039556334
275344:5028,06/19/16 08:18:25,281,HLT_IsoMu24_v2,52.274032725,50.206595426
275345:5028,06/19/16 10:12:11,353,HLT_IsoMu24_v2,62.030894758,59.317080928
275370:5029,06/19/16 16:19:29,285,HLT_IsoMu24_v2,54.224574816,51.557454428
275371:5029,06/19/16 18:16:49,564,HLT_IsoMu24_v2,98.268244346,94.041599977
275375:5030,06/20/16 02:17:12,1323,HLT_IsoMu24_v2,213.406614982,205.471795052
275376:5030,06/20/16 10:55:04,3095,HLT_IsoMu24_v2,331.859491123,323.163897270
275657:5038,06/24/16 03:33:42,105,HLT_IsoMu24_v2,20.167306243,18.470903871
275658:5038,06/24/16 04:17:17,337,HLT_IsoMu24_v2,62.579841368,59.231597047
275659:5038,06/24/16 06:31:38,17,HLT_IsoMu24_v2,3.283208432,3.171269936
275761:5043,06/25/16 04:25:26,9,HLT_IsoMu24_v2,1.902426092,1.667386031
275767:5043,06/25/16 05:32:46,4,HLT_IsoMu24_v2,0.808111082,0.714021988
275772:5043,06/25/16 06:29:27,56,HLT_IsoMu24_v2,10.607872912,10.203603061
275773:5043,06/25/16 06:53:33,7,HLT_IsoMu24_v2,1.323620105,1.181464554
275774:5043,06/25/16 07:01:55,312,HLT_IsoMu24_v2,57.592110608,55.058509354
275776:5043,06/25/16 09:11:23,140,HLT_IsoMu24_v2,24.494056643,23.256087180
275777:5043,06/25/16 10:12:24,300,HLT_IsoMu24_v2,49.898140841,47.914974828
275778:5043,06/25/16 12:13:15,305,HLT_IsoMu24_v2,47.436821325,45.726821976
275782:5043,06/25/16 14:44:49,761,HLT_IsoMu24_v2,103.404399320,99.533422450
275832:5045,06/26/16 17:18:04,367,HLT_IsoMu24_v2,77.465190039,72.628755583
275833:5045,06/26/16 19:45:07,248,HLT_IsoMu24_v2,48.058353215,46.318904040
275834:5045,06/26/16 21:26:02,297,HLT_IsoMu24_v2,53.966999532,51.935909979
275835:5045,06/26/16 23:24:23,13,HLT_IsoMu24_v2,2.270924890,2.069230944
275836:5045,06/26/16 23:32:00,1277,HLT_IsoMu24_v2,193.464140911,184.634626050
275837:5045,06/27/16 07:59:11,715,HLT_IsoMu24_v2,86.035795935,83.442435566
275847:5045,06/27/16 13:59:22,2263,HLT_IsoMu24_v2,203.811335461,198.947361542
275886:5048,06/28/16 08:40:35,37,HLT_IsoMu24_v2,8.051867229,7.581469158
275890:5048,06/28/16 09:27:45,1393,HLT_IsoMu24_v2,244.957583971,235.220049782
275911:5052,06/29/16 01:49:35,377,HLT_IsoMu24_v2,76.433866843,73.191362502
275912:5052,06/29/16 04:21:23,289,HLT_IsoMu24_v2,53.998992399,51.914262609
275913:5052,06/29/16 06:19:55,475,HLT_IsoMu24_v2,80.635038132,76.634940140
275918:5052,06/29/16 09:29:20,332,HLT_IsoMu24_v2,51.478884371,49.710245850
275920:5052,06/29/16 11:56:25,459,HLT_IsoMu24_v2,63.787866031,61.253099614
275921:5052,06/29/16 14:59:30,8,HLT_IsoMu24_v2,1.070586893,1.003981616
275923:5052,06/29/16 15:17:42,114,HLT_IsoMu24_v2,14.932571366,14.500101754
275931:5052,06/29/16 16:34:22,85,HLT_IsoMu24_v2,10.722057252,10.418107596
275963:5056,06/30/16 01:02:54,90,HLT_IsoMu24_v2,20.638262576,19.553295443
276092:5060,07/01/16 02:14:32,76,HLT_IsoMu24_v2,15.781805392,14.768384698
276097:5060,07/01/16 03:07:31,507,HLT_IsoMu24_v2,103.587052755,99.405227777
276242:5069,07/02/16 14:05:34,1644,HLT_IsoMu24_v2,282.339145193,268.748623456
276243:5069,07/03/16 00:56:20,608,HLT_IsoMu24_v2,82.507799869,77.814285324
276244:5069,07/03/16 05:04:17,1200,HLT_IsoMu24_v2,137.388601217,132.488998823
276282:5071,07/03/16 18:15:01,1066,HLT_IsoMu24_v2,214.350130326,205.622214694
276283:5071,07/04/16 01:14:13,1085,HLT_IsoMu24_v2,173.596375918,166.967551934
276315:5072,07/04/16 11:19:05,176,HLT_IsoMu24_v2,35.947419515,34.051452829
276317:5072,07/04/16 12:33:38,136,HLT_IsoMu24_v2,27.292859294,26.316937148
276318:5072,07/04/16 13:30:33,566,HLT_IsoMu24_v2,101.459437533,97.988839691
276355:5073,07/04/16 21:39:48,33,HLT_IsoMu24_v2,6.473197408,6.205236896
276361:5073,07/04/16 22:36:15,824,HLT_IsoMu24_v2,155.391612696,149.465197533
276363:5073,07/05/16 04:07:36,1478,HLT_IsoMu24_v2,215.802839260,206.375698498
276384:5073,07/05/16 13:47:06,1116,HLT_IsoMu24_v2,125.087740899,121.517288766
